Date,Open,High,Low,Close,Adj Close,Volume
6/19/2014,54.14,54.81,53.92,54.19,35.29,"3,952,800"
6/18/2014,54.27,54.61,54,54.57,35.54,"3,337,300"
6/17/2014,54.49,54.54,53.85,54.3,35.37,"3,385,000"
6/16/2014,54.18,54.31,53.45,54,35.17,"4,410,400"
6/13/2014,53.67,54.31,53.44,54.16,35.28,"4,413,000"
6/12/2014,54.22,54.25,53.46,53.66,34.95,"3,941,600"
6/11/2014,53.85,54.7,53.75,54.23,35.32,"5,386,800"
6/10/2014,53.14,54.08,52.29,53.97,35.15,"8,414,700"
6/9/2014,54.42,54.88,53.72,53.84,35.07,"6,297,500"
6/6/2014,55.32,55.4,54.89,55.1,35.89,"3,449,800"
6/5/2014,54.55,55.32,54.36,55.3,36.02,"4,847,300"
6/4/2014,53.92,54.64,53.67,54.58,35.55,"3,388,200"
6/3/2014,54.06,54.47,53.87,54.37,35.41,"3,078,000"
6/2/2014,54.43,54.95,53.91,54.15,35.27,"3,635,000"
5/30/2014,53.98,54.43,53.89,54.33,35.39,"4,025,600"
5/29/2014,54.1,54.45,53.75,54.03,35.19,"2,768,600"
5/28/2014,53.96,54.61,53.82,54.07,35.22,"4,108,300"
5/27/2014,54.2,54.2,53.78,53.99,35.16,"3,816,300"
5/23/2014,53.94,54.38,53.84,53.95,35.14,"3,023,500"
5/22/2014,53.29,54.34,52.94,53.63,34.93,"4,486,400"
5/21/2014,53.5,53.84,53.1,53.27,34.7,"4,088,000"
5/20/2014,53.86,53.93,53.31,53.54,34.87,"5,021,200"
5/19/2014,52.84,54.21,52.71,54.11,35.24,"6,010,500"
5/16/2014,52.65,52.97,52.41,52.93,34.47,"5,826,200"
5/15/2014,52.96,53.07,52.42,52.69,34.32,"6,963,800"
5/14/2014,52.23,53,52.08,52.87,34.43,"4,878,400"
5/13/2014,52.45,52.5,51.92,52.2,34,"4,145,200"
5/12/2014,52.36,52.56,52.22,52.37,34.11,"3,626,400"
5/9/2014,52.07,52.35,51.08,52.26,34.04,"5,012,500"
5/8/2014,52.69,53.09,51.96,52.15,33.97,"4,092,100"
