Date,Open,High,Low,Close,Adj Close,Volume
7/29/2013,109.58,109.8,108.42,109.37,79.99,"2,027,600"
7/26/2013,109.02,109.88,108.41,109.6,80.16,"2,516,500"
7/25/2013,106.51,109.68,105.36,109.51,80.09,"3,355,500"
7/24/2013,107.44,107.49,105.88,106.6,77.97,"1,860,200"
7/23/2013,109.21,109.21,106.44,106.62,77.98,"2,560,600"
7/22/2013,108.25,109.1,107.82,108.95,79.68,"2,857,100"
7/19/2013,105.26,109.68,104.07,109.39,80.01,"5,448,700"
7/18/2013,104.55,106,104.27,104.77,76.63,"2,296,700"
7/17/2013,104.5,104.95,103.89,104.31,76.29,"2,184,200"
7/16/2013,104.27,104.9,103.54,104.05,76.1,"1,895,700"
7/15/2013,104.25,104.65,102.93,104.45,76.39,"2,532,900"
7/12/2013,103.56,104.27,102.24,104.27,76.26,"3,710,500"
7/11/2013,103.64,103.65,101.17,103.26,75.52,"3,567,100"
7/10/2013,98.16,102.33,98.02,102.06,74.65,"4,175,500"
7/9/2013,98.89,99.68,98.07,98.33,71.92,"2,085,600"
7/8/2013,98.46,99.22,97.9,98.18,71.81,"2,464,300"
7/5/2013,96.92,97.9,96.78,97.64,71.41,"2,233,500"
7/3/2013,95.21,96.5,95.05,95.81,70.07,"2,132,600"
7/2/2013,96.79,97.28,95.4,96.06,70.26,"4,006,100"
7/1/2013,100.2,101.72,97.28,97.49,71.3,"4,898,700"
6/28/2013,98.74,99.88,97.78,98.66,72.16,"5,269,700"
6/27/2013,100.48,100.62,98.35,98.99,72.4,"2,998,200"
6/26/2013,97.33,100.17,97.25,99.6,72.85,"2,975,900"
6/25/2013,97.64,98.75,95.64,96.38,70.49,"3,068,900"
6/24/2013,96.73,97.23,95.41,96.14,70.32,"3,745,400"
6/21/2013,97.08,99.12,95.06,98.28,71.88,"6,938,000"
6/20/2013,98.52,98.58,95.91,96.28,70.42,"3,875,100"
6/19/2013,101.69,102,99.15,99.18,72.54,"3,825,500"
6/18/2013,99.12,102.29,99.07,101.5,74.24,"3,329,000"
6/17/2013,98.72,100.09,98.5,99.08,72.47,"3,082,500"
6/14/2013,98.23,98.9,96.92,97.42,71.25,"3,126,400"
6/13/2013,96.38,98.7,95.94,98.51,72.05,"2,958,100"
6/12/2013,98.97,99.5,95.97,96.37,70.48,"2,579,600"
6/11/2013,97.26,99.01,96.62,97.93,71.62,"2,064,500"
6/10/2013,98.95,99.44,97.87,98.31,71.9,"2,901,300"
6/7/2013,98.77,100.26,98.32,98.81,72.27,"3,576,300"
6/6/2013,95.01,97.53,94.15,97.49,71.3,"4,670,200"
6/5/2013,97,98.33,94.57,94.6,69.19,"4,995,200"
6/4/2013,99.03,100.36,97.12,97.29,71.16,"3,164,700"
6/3/2013,100.61,101.25,97.22,99.13,72.5,"5,009,900"
5/31/2013,104.4,105.03,100.39,100.53,73.53,"6,097,100"
5/30/2013,104.49,105.84,104.19,105.22,76.96,"2,351,700"
5/29/2013,105.81,105.95,104.15,104.39,76.35,"2,909,900"
5/28/2013,106.76,108.03,105.45,106.2,77.67,"3,164,400"
5/24/2013,105.1,106.17,104.37,105.91,77.46,"2,411,000"
5/23/2013,103.1,106.33,103,105.62,77.25,"3,169,500"
5/22/2013,104.26,107.4,103.61,104.53,76.45,"3,535,200"
5/21/2013,102.45,104.68,102.45,104.24,76.24,"3,490,400"
5/20/2013,105.33,105.5,101.25,102.18,74.73,"3,905,000"
5/17/2013,105.89,106.05,104.33,105.63,77.26,"3,038,000"
5/16/2013,107.03,107.03,103.6,104.97,76.77,"3,915,400"
5/15/2013,108.08,109.16,106.45,107.42,78.57,"2,561,900"
5/14/2013,0.47 Dividend,,,,,
5/14/2013,106.52,109.56,106.52,107.94,78.95,"3,756,400"
5/13/2013,106.18,107.59,105.62,106.89,77.83,"2,547,000"
5/10/2013,104.56,106.75,104.4,106.72,77.71,"2,905,100"
5/9/2013,104.81,105.75,104.13,104.56,76.14,"2,460,800"
5/8/2013,104.64,105.51,104.22,105.07,76.51,"3,224,200"
5/7/2013,105,105.56,104.18,104.46,76.06,"2,957,100"
5/6/2013,106.08,106.13,104.68,104.83,76.33,"2,624,100"
5/3/2013,106.7,107.57,106.14,106.48,77.54,"2,620,500"
5/2/2013,105.15,106.92,104.4,105.59,76.89,"2,919,800"
5/1/2013,105.05,106.88,104.31,104.54,76.12,"3,744,500"
4/30/2013,106.66,106.66,103.85,104.21,75.88,"5,477,200"
4/29/2013,108.15,108.38,106.33,106.67,77.67,"4,293,900"
4/26/2013,109.04,109.69,106.9,108.38,78.92,"2,933,600"
4/25/2013,105.49,109.24,105.21,108.66,79.12,"8,120,000"
4/24/2013,106.67,108.37,104.02,104.93,76.41,"7,490,500"
4/23/2013,113.71,114.95,112,112.76,82.11,"4,793,700"
4/22/2013,112.01,113.97,110.83,113.42,82.59,"4,305,600"
4/19/2013,107.17,111.61,107.17,111.38,81.1,"6,032,500"
4/18/2013,109.63,109.9,106.3,107.46,78.25,"3,889,300"
4/17/2013,109.94,110.39,107.65,109.44,79.69,"3,546,600"
4/16/2013,109.32,110.94,108.71,110.85,80.72,"4,627,700"
4/15/2013,111.31,111.44,108.2,108.48,78.99,"4,458,900"
4/12/2013,108.5,112.1,108.17,111.57,81.24,"5,726,500"
4/11/2013,108.57,109.36,107.62,108.22,78.8,"4,273,000"
