Date,Open,High,Low,Close,Adj Close,Volume
2/10/2006,58.7,58.76,58.24,58.39,33.96,"8,158,200"
2/9/2006,59.15,59.71,58.3,58.55,34.05,"12,131,200"
2/8/2006,57.05,58.74,56.93,58.6,34.08,"14,627,400"
2/7/2006,57,57.33,56.7,56.8,33.04,"10,338,700"
2/6/2006,57.5,57.56,56.81,56.85,33.07,"10,618,900"
2/3/2006,57.26,57.5,57.02,57.38,33.37,"11,020,100"
2/2/2006,58.35,58.38,57.59,57.65,33.53,"10,014,200"
2/1/2006,57.67,58.42,57.65,57.86,33.65,"13,406,000"
1/31/2006,58.15,58.34,57.45,57.54,33.47,"20,563,700"
1/30/2006,58.71,58.75,58.04,58.4,33.97,"11,877,300"
1/27/2006,58.95,59.21,58.35,58.71,34.15,"11,596,300"
1/26/2006,58.75,59.5,58.56,58.64,34.11,"15,946,100"
1/25/2006,61,61,58.04,58.5,34.03,"25,368,800"
1/24/2006,60.19,60.79,59.36,59.36,34.53,"19,956,800"
1/23/2006,60.75,61.24,60.61,61.19,35.59,"7,213,100"
1/20/2006,61.24,62.3,60.73,60.8,35.36,"11,023,500"
1/19/2006,62.3,62.62,61.7,62.17,36.16,"7,494,700"
1/18/2006,61.75,62.24,61.35,62.19,36.17,"7,547,400"
1/17/2006,61.31,62.07,61.1,61.28,35.64,"9,674,000"
1/13/2006,61.9,62.29,61.42,61.82,35.96,"7,043,600"
1/12/2006,62.5,62.55,61.8,62.21,36.18,"7,262,400"
1/11/2006,62.96,62.99,61.94,62.5,36.35,"8,824,100"
1/10/2006,62.52,63.1,62.5,63.1,36.7,"6,656,700"
1/9/2006,62.52,63.01,62.43,62.99,36.64,"7,103,700"
1/6/2006,62.36,62.74,62.14,62.6,36.41,"5,919,200"
1/5/2006,62.57,62.95,62.1,62.32,36.25,"9,852,600"
1/4/2006,61.93,62.64,61.76,62.58,36.4,"9,068,100"
1/3/2006,61.07,61.85,61.05,61.63,35.85,"10,703,100"
12/30/2005,60.1,60.25,60.03,60.1,34.96,"5,261,300"
12/29/2005,60.53,60.7,60.04,60.25,35.04,"5,325,100"
12/28/2005,60.3,60.66,60.3,60.42,35.14,"5,603,100"
12/27/2005,61.12,61.2,60.27,60.3,35.07,"6,324,400"
12/23/2005,61.3,61.51,61.01,61.11,35.54,"3,591,100"
12/22/2005,60.96,61.32,60.56,61.32,35.67,"5,179,100"
12/21/2005,60.98,61.2,60.7,60.88,35.41,"6,282,100"
12/20/2005,60.92,61.19,60.67,60.78,35.35,"6,946,700"
12/19/2005,61.55,62,61.1,61.19,35.59,"10,639,100"
12/16/2005,60.33,61.35,60.19,60.86,35.4,"13,197,200"
12/15/2005,60.15,60.35,60,60.16,34.99,"6,942,500"
12/14/2005,60.4,60.48,60.06,60.11,34.96,"10,199,000"
12/13/2005,60.13,60.5,59.99,60.25,35.04,"12,785,500"
12/12/2005,60.15,60.26,60.01,60.15,34.99,"7,960,900"
12/9/2005,60,60.35,59.98,60.1,34.96,"8,127,100"
12/8/2005,60.04,60.75,59.87,60.08,34.94,"10,415,400"
12/7/2005,60.39,60.45,59.76,60.04,34.92,"14,538,400"
12/6/2005,61.25,61.25,60.4,60.47,35.17,"14,823,200"
12/5/2005,61.6,62,60.73,61.05,35.51,"21,946,800"
12/2/2005,61.61,61.8,61.2,61.21,35.6,"6,818,000"
12/1/2005,61.85,62.06,61.63,61.69,35.88,"6,963,600"
11/30/2005,62,62.63,61.72,61.75,35.92,"7,696,000"
11/29/2005,62.8,62.81,61.96,62,36.06,"8,675,700"
11/28/2005,62.75,62.95,62.2,62.4,36.29,"12,698,500"
11/25/2005,62.1,62.34,61.95,62.15,36.15,"5,094,100"
11/23/2005,61.45,61.84,61.3,61.67,35.87,"7,681,900"
11/22/2005,61.72,61.8,61.15,61.61,35.83,"10,625,600"
11/21/2005,62.55,62.55,61.7,61.99,36.06,"11,069,200"
11/18/2005,0.33 Dividend,,,,,
11/18/2005,63.75,63.77,62.34,62.55,36.38,"11,696,000"
11/17/2005,63.62,63.66,63.07,63.34,36.65,"10,596,300"
11/16/2005,63.78,63.78,62.65,63.25,36.6,"15,168,600"
11/15/2005,62.09,63.5,61.85,62.83,36.35,"37,611,100"
