Date,Open,High,Low,Close,Adj Close,Volume
5/27/2014,28.4,28.45,28.06,28.09,18.61,"28,383,588"
5/23/2014,28.06,28.12,27.92,27.98,18.54,"19,955,909"
5/22/2014,28.05,28.34,28.04,28.14,18.65,"22,610,303"
5/21/2014,27.75,28.39,27.7,28.06,18.59,"22,601,765"
5/20/2014,28.03,28.03,27.71,27.75,18.39,"26,215,299"
5/19/2014,28.06,28.19,27.75,27.78,18.41,"43,203,882"
5/16/2014,27.51,28.04,27.51,27.63,18.31,"37,632,332"
5/15/2014,27.58,27.69,27.43,27.57,18.27,"28,286,093"
5/14/2014,27.65,27.78,27.44,27.61,18.29,"28,226,858"
5/13/2014,27.62,27.89,27.61,27.7,18.36,"27,706,920"
5/12/2014,27.84,27.87,27.54,27.64,18.31,"22,824,054"
5/9/2014,27.61,27.71,27.3,27.54,18.25,"41,102,100"
5/8/2014,27.63,27.93,27.5,27.68,18.34,"38,042,444"
5/7/2014,0.25 Dividend,,,,,
5/7/2014,27.65,27.97,27.37,27.53,18.24,"51,703,338"
5/6/2014,28.46,28.47,27.83,27.92,18.34,"57,674,669"
5/5/2014,28.71,28.72,28.32,28.43,18.67,"57,867,340"
5/2/2014,29.43,29.47,28.98,29.17,19.16,"43,960,759"
5/1/2014,29.49,29.96,29.35,29.55,19.41,"43,749,221"
4/30/2014,30.13,30.3,29.62,29.68,19.49,"38,507,363"
4/29/2014,30.42,30.45,29.79,30.13,19.79,"41,800,691"
4/28/2014,29.97,30.69,29.76,30.4,19.96,"75,278,366"
4/25/2014,29.16,29.22,28.98,29.17,19.16,"19,677,653"
4/24/2014,29.32,29.32,28.65,29.14,19.14,"26,311,845"
4/23/2014,29.58,29.58,29.18,29.34,19.27,"21,599,833"
4/22/2014,29.27,29.65,29.27,29.41,19.32,"27,377,439"
4/21/2014,28.98,29.35,28.84,29.28,19.23,"31,972,985"
4/17/2014,28.61,28.84,28.53,28.7,18.85,"27,969,787"
4/16/2014,28.61,28.67,28.39,28.55,18.75,"31,097,005"
4/15/2014,28.43,28.61,28.08,28.36,18.62,"31,703,371"
4/14/2014,28.51,28.59,28.06,28.34,18.61,"30,390,825"
4/11/2014,28.94,28.94,28.3,28.33,18.61,"43,025,439"
4/10/2014,29.77,29.82,28.95,29.04,19.07,"32,088,714"
4/9/2014,29.4,29.65,29.05,29.63,19.46,"40,776,098"
4/8/2014,29.66,29.78,29.27,29.29,19.23,"36,439,626"
4/7/2014,29.87,30.09,29.46,29.6,19.44,"57,529,955"
4/4/2014,30.85,31.02,30.43,30.51,20.04,"27,693,323"
4/3/2014,30.77,30.83,30.53,30.74,20.19,"21,117,944"
4/2/2014,30.28,30.73,30.18,30.64,20.12,"22,782,632"
4/1/2014,30.29,30.6,30.12,30.31,19.91,"23,015,776"
3/31/2014,30.32,30.53,30.2,30.47,20.01,"19,470,753"
3/28/2014,30.55,30.82,30.11,30.25,19.86,"23,156,275"
3/27/2014,30.63,30.72,30.27,30.46,20,"29,242,176"
3/26/2014,30.37,30.75,30.05,30.53,20.05,"33,284,793"
3/25/2014,30.14,30.35,29.97,30.19,19.83,"22,278,398"
3/24/2014,30.14,30.27,29.72,29.88,19.62,"44,062,681"
3/21/2014,30.67,30.83,29.85,30.53,20.05,"65,473,215"
3/20/2014,30.47,30.47,30.09,30.28,19.88,"23,921,373"
3/19/2014,30.29,30.44,29.78,30.09,19.76,"24,329,482"
3/18/2014,29.86,30.42,29.81,30.29,19.9,"24,326,742"
3/17/2014,29.8,29.91,29.66,29.81,19.58,"22,412,467"
3/14/2014,29.55,29.83,29.25,29.63,19.46,"28,576,680"
3/13/2014,30.35,30.38,29.33,29.53,19.39,"48,374,068"
3/12/2014,30.5,30.9,30.29,30.34,19.93,"34,273,445"
3/11/2014,30.69,30.95,30.59,30.76,20.2,"25,470,648"
3/10/2014,30.76,30.88,30.64,30.73,20.18,"16,819,100"
3/7/2014,30.84,30.99,30.53,30.77,20.21,"18,561,783"
3/6/2014,31.12,31.27,30.75,30.8,20.23,"21,629,029"
3/5/2014,30.98,31.26,30.93,31.07,20.41,"23,663,776"
3/4/2014,30.68,31.06,30.68,31.02,20.37,"27,746,655"
3/3/2014,29.91,30.49,29.91,30.34,19.93,"25,076,663"
2/28/2014,30.47,30.75,30.22,30.46,20.01,"29,003,550"
2/27/2014,30.24,30.59,30.2,30.58,20.08,"23,981,978"
2/26/2014,30.11,30.36,30.09,30.35,19.93,"26,374,664"
2/25/2014,29.93,30.35,29.92,30.26,19.87,"28,665,216"
2/24/2014,30.35,30.44,29.91,30.35,19.93,"40,868,850"
2/21/2014,30.06,30.14,29.83,29.85,19.6,"19,468,856"
2/20/2014,29.73,30.09,29.66,29.93,19.66,"23,668,624"
2/19/2014,30.28,30.32,29.83,29.87,19.61,"29,245,233"
2/18/2014,30.18,30.45,30.16,30.25,19.86,"20,750,730"
2/14/2014,30.25,30.36,30.08,30.3,19.9,"19,915,962"
2/13/2014,29.89,30.22,29.79,30.08,19.75,"19,886,556"
2/12/2014,30.24,30.36,29.93,29.99,19.7,"22,406,459"
2/11/2014,30.16,30.34,29.82,30.25,19.86,"26,076,382"
2/10/2014,29.66,29.86,29.54,29.86,19.61,"23,811,336"
2/7/2014,29.26,29.68,29.04,29.62,19.45,"29,310,791"
2/6/2014,29.14,29.33,29.03,29.26,19.22,"24,839,618"
2/5/2014,0.25 Dividend,,,,,
2/5/2014,29.4,29.58,29.01,29.08,19.1,"39,166,429"
2/4/2014,30.02,30.36,29.03,29.83,19.43,"49,779,050"
2/3/2014,29.44,30.07,29,29.03,18.91,"64,621,372"
1/31/2014,28.99,29.09,28.66,28.84,18.79,"43,648,037"
1/30/2014,28.84,29.27,28.66,29.24,19.04,"33,832,873"
1/29/2014,28.69,28.9,28.46,28.57,18.61,"30,796,615"
1/28/2014,28.88,29.17,28.59,28.86,18.8,"35,917,158"
