Date,Open,High,Low,Close,Adj Close,Volume
7/24/2007,22.29,22.59,22.29,22.29,12.51,"782,800"
7/23/2007,22.46,22.89,22.45,22.46,12.61,"886,000"
7/20/2007,22.81,23,22.75,22.81,12.81,"1,674,400"
7/19/2007,22.99,23.25,22.81,22.99,12.91,"11,480,800"
7/18/2007,22.19,22.42,22.19,22.19,12.46,"538,400"
7/17/2007,22.25,22.63,22.25,22.25,12.49,"1,335,600"
7/16/2007,22.49,22.61,22.48,22.49,12.63,"481,200"
7/13/2007,22.44,22.58,22.36,22.44,12.6,"719,200"
7/12/2007,22.63,22.63,22.4,22.63,12.7,"291,600"
7/11/2007,22.52,22.61,22.41,22.52,12.65,"409,600"
7/10/2007,22.52,22.73,22.4,22.52,12.65,"599,200"
7/9/2007,22.52,24.04,22.42,22.52,12.65,"620,000"
7/6/2007,22.46,22.55,22.21,22.46,12.61,"1,301,200"
7/5/2007,22.41,22.58,22.24,22.41,12.58,"434,800"
7/3/2007,22.36,22.42,22.31,22.36,12.56,"232,000"
7/2/2007,22.52,22.58,22.35,22.52,12.65,"1,050,800"
6/29/2007,22.24,22.25,22.05,22.24,12.49,"488,000"
6/28/2007,21.98,22,21.77,21.98,12.34,"426,000"
6/27/2007,21.7,21.75,21.48,21.7,12.18,"341,200"
6/26/2007,21.45,21.55,21.39,21.45,12.04,"1,202,000"
6/25/2007,21.42,21.63,21.35,21.42,12.03,"613,600"
6/22/2007,21.33,21.6,21.25,21.33,11.97,"2,079,200"
6/21/2007,21.48,21.54,21.36,21.48,12.06,"8,446,000"
6/20/2007,21.67,21.99,21.66,21.67,12.17,"2,966,400"
6/19/2007,22.01,22.05,21.95,22.01,12.36,"1,501,200"
6/18/2007,22,22.01,21.86,22,12.35,"1,121,200"
6/15/2007,22.15,22.19,22.09,22.15,12.44,"1,606,800"
6/14/2007,21.99,21.99,21.7,21.99,12.35,"1,315,600"
6/13/2007,21.85,21.85,21.66,21.85,12.27,"919,600"
6/12/2007,21.74,21.98,21.69,21.74,12.2,"545,600"
6/11/2007,22.06,22.1,21.83,22.06,12.39,"223,200"
6/8/2007,22.19,22.19,21.9,22.19,12.46,"1,500,800"
6/7/2007,22,22.5,22,22,12.35,"643,600"
6/6/2007,22.66,22.83,22.54,22.66,12.72,"578,000"
6/5/2007,22.88,22.96,22.79,22.88,12.84,"2,044,800"
6/4/2007,23.06,23.06,22.88,23.06,12.95,"506,000"
6/1/2007,23.11,23.2,22.96,23.11,12.98,"1,132,400"
5/31/2007,22.96,23.04,22.89,22.96,12.89,"364,400"
5/30/2007,23.02,23.06,22.81,23.02,12.93,"406,400"
5/29/2007,23.02,23.23,22.98,23.02,12.93,"682,400"
5/25/2007,23.23,23.25,22.99,23.23,13.04,"530,800"
5/24/2007,22.88,23.04,22.81,22.88,12.84,"1,784,400"
5/23/2007,22.91,23.15,22.9,22.91,12.86,"1,254,400"
5/22/2007,22.96,23.09,22.96,22.96,12.89,"944,800"
5/21/2007,23.02,23.35,23.01,23.02,12.93,"428,800"
5/18/2007,23.23,23.29,23,23.23,13.04,"877,600"
5/17/2007,23.24,23.29,23.19,23.24,13.05,"242,400"
5/16/2007,23.25,23.35,23.2,23.25,13.05,"1,051,600"
5/15/2007,23.27,23.63,23.27,23.27,13.07,"678,800"
5/14/2007,23.17,23.41,23.11,23.17,13.01,"763,600"
5/11/2007,23.44,23.5,23.3,23.44,13.16,"283,600"
5/10/2007,23.31,23.49,23.27,23.31,13.09,"360,800"
5/9/2007,23.73,23.73,23.46,23.73,13.32,"212,000"
5/8/2007,23.7,23.74,23.55,23.7,13.31,"251,200"
5/7/2007,23.9,24.06,23.83,23.9,13.42,"868,400"
5/4/2007,24.21,24.25,23.96,24.21,13.59,"450,400"
5/3/2007,23.6,23.64,23.45,23.6,13.25,"395,200"
5/2/2007,23.69,23.71,23.44,23.69,13.3,"4,958,800"
5/1/2007,23.64,23.65,23.5,23.64,13.27,"228,400"
4/30/2007,23.56,23.77,23.5,23.56,13.23,"1,269,200"
4/27/2007,23.85,23.89,23.74,23.85,13.39,"224,400"
4/26/2007,24.06,24.1,23.88,24.06,13.51,"274,000"
4/25/2007,24.21,24.3,24.11,24.21,13.59,"276,000"
4/24/2007,24.02,24.2,23.98,24.02,13.49,"989,600"
4/23/2007,24.35,24.36,24.1,24.35,13.67,"633,200"
4/20/2007,24.31,24.38,24.1,24.31,13.65,"250,000"
4/19/2007,24.09,24.17,23.91,24.09,13.52,"5,972,800"
