Date,Open,High,Low,Close,Adj Close,Volume
11/3/2010,35.27,35.51,34.93,35.47,20.43,"2,347,200"
11/2/2010,35.59,35.7,35.42,35.58,20.49,"2,124,000"
11/1/2010,35.2,35.28,34.83,35.02,20.17,"2,424,700"
10/29/2010,34.99,35.23,34.83,35.11,20.22,"2,037,500"
10/28/2010,34.68,34.94,34.23,34.79,20.04,"2,389,400"
10/27/2010,34.52,34.78,34,34.38,19.8,"2,427,800"
10/26/2010,34.35,34.59,34.2,34.54,19.9,"1,718,800"
10/25/2010,35.12,35.22,34.73,34.84,20.07,"1,812,800"
10/22/2010,34.85,34.94,34.51,34.58,19.92,"810,400"
10/21/2010,34.7,35.06,34.46,34.74,20.01,"1,559,500"
10/20/2010,34.44,34.92,34.4,34.89,20.1,"1,511,400"
10/19/2010,34.41,34.78,34.02,34.19,19.69,"1,831,400"
10/18/2010,34.91,35.27,34.8,35.25,20.3,"2,037,000"
10/15/2010,35.51,35.51,34.99,35.17,20.26,"2,105,600"
10/14/2010,35.05,35.06,34.68,34.89,20.1,"2,371,200"
10/13/2010,34.74,35,34.68,34.86,20.08,"2,050,100"
10/12/2010,33.78,34.02,33.44,33.94,19.55,"2,314,300"
10/11/2010,34.26,34.49,34.16,34.26,19.73,"920,900"
10/8/2010,33.94,34.26,33.85,34.21,19.71,"1,495,600"
10/7/2010,34.52,34.54,33.84,34.04,19.61,"1,410,500"
10/6/2010,34.4,34.44,33.99,34.16,19.68,"1,695,800"
10/5/2010,33.85,34.4,33.75,34.27,19.74,"2,394,700"
10/4/2010,33.01,33.21,32.74,32.87,18.93,"1,727,100"
10/1/2010,33.36,33.38,32.88,33.12,19.08,"3,272,400"
9/30/2010,33.66,33.75,33.06,33.25,19.15,"1,915,100"
9/29/2010,33.77,33.88,33.54,33.63,19.37,"1,222,700"
9/28/2010,33.69,33.84,33.19,33.73,19.43,"1,482,600"
9/27/2010,33.79,33.8,32.89,33.42,19.25,"2,907,700"
9/24/2010,33.74,34.1,33.66,34.02,19.6,"1,658,700"
9/23/2010,33.08,33.35,33.03,33.13,19.08,"1,076,200"
9/22/2010,33.58,33.79,33.25,33.34,19.2,"1,652,200"
9/21/2010,33.29,33.64,33.04,33.34,19.2,"1,808,100"
9/20/2010,32.9,33.28,32.84,33.21,19.13,"1,993,400"
9/17/2010,32.67,32.8,32.42,32.77,18.88,"3,573,100"
9/16/2010,32.56,32.73,32.4,32.69,18.83,"3,120,200"
9/15/2010,31.8,32.4,31.75,32.29,18.6,"3,811,400"
9/14/2010,31.44,32.05,31.33,31.86,18.35,"3,274,000"
9/13/2010,31.53,31.6,31.33,31.49,18.14,"2,286,800"
9/10/2010,30.91,31.06,30.81,30.98,17.85,"1,538,500"
9/9/2010,30.86,30.93,30.64,30.72,17.7,"1,319,800"
9/8/2010,30.33,30.56,30.25,30.26,17.43,"1,494,200"
9/7/2010,29.82,29.86,29.66,29.73,17.13,"1,179,300"
9/3/2010,30,30.21,29.93,30.2,17.4,"1,274,000"
9/2/2010,29.89,29.97,29.66,29.7,17.11,"1,523,900"
