Date,Open,High,Low,Close,Adj Close,Volume
8/24/2005,32.54,32.57,32.1,32.22,25.21,"3,728,900"
8/23/2005,32.9,32.92,32.29,32.32,25.29,"3,772,300"
8/22/2005,33.22,33.29,32.6,32.86,25.71,"4,042,600"
8/19/2005,32.93,33.5,32.93,33.29,26.05,"3,060,500"
8/18/2005,33.2,33.64,33.2,33.39,26.12,"6,573,100"
8/17/2005,32.55,33.24,32.46,33.19,25.97,"8,081,600"
8/16/2005,32.73,32.8,32.18,32.31,25.28,"3,394,100"
8/15/2005,32.73,32.94,32.57,32.8,25.66,"3,560,200"
8/12/2005,32.83,32.98,32.32,32.64,25.54,"3,450,300"
8/11/2005,0.07 Dividend,,,,,
8/11/2005,32.52,33.12,32.49,32.83,25.69,"5,015,900"
8/10/2005,32.78,33.15,32.48,32.61,25.46,"3,670,800"
8/9/2005,32.38,32.71,32.22,32.64,25.48,"5,545,700"
8/8/2005,33.1,33.28,32.2,32.37,25.27,"6,004,800"
8/5/2005,32.82,33.66,32.82,33.26,25.97,"9,504,200"
8/4/2005,32.45,33.02,32.42,33,25.77,"6,813,800"
8/3/2005,32.28,32.65,32.18,32.59,25.45,"7,732,300"
8/2/2005,32.55,32.7,32.08,32.2,25.14,"7,899,100"
8/1/2005,31.35,32.26,31.29,32.21,25.15,"7,902,300"
7/29/2005,31.85,31.97,31.4,31.47,24.57,"6,060,200"
7/28/2005,31.9,32,31.86,31.94,24.94,"6,448,600"
7/27/2005,32.03,32.03,31.68,31.93,24.93,"9,702,700"
7/26/2005,31.87,32.08,31.52,31.95,24.95,"13,246,200"
7/25/2005,32.5,33.19,30.99,31.23,24.38,"27,211,200"
7/22/2005,31.02,31.37,30.94,31.16,24.33,"1,634,900"
7/21/2005,31.02,31.3,30.73,31.09,24.27,"2,640,900"
7/20/2005,30.41,31.12,30.41,30.97,24.18,"4,170,700"
7/19/2005,30.26,30.84,30.11,30.33,23.68,"3,226,100"
7/18/2005,29.99,30.08,29.79,29.92,23.36,"2,553,400"
