Date,Open,High,Low,Close,Adj Close,Volume
5/21/2014,131.71,132,129.76,129.9,129.9,"1,828,600"
5/20/2014,0.00 Dividend,,,,,
5/20/2014,125.79,132.15,125.71,130.97,130.97,"4,848,700"
5/19/2014,125.85,127.89,125.32,127.21,127.21,"2,177,900"
5/16/2014,0.00 Dividend,,,,,
5/16/2014,123.75,127.2,121.99,126.76,126.76,"3,373,100"
5/15/2014,126.24,126.95,122.97,124.04,124.04,"4,465,500"
5/14/2014,128.84,129.08,126.65,126.97,126.97,"2,966,900"
5/13/2014,131.32,131.74,129.56,129.64,129.64,"2,304,300"
5/12/2014,130.12,131.65,127.84,130.16,130.16,"3,864,100"
5/9/2014,130.69,132.59,129.01,131.17,131.17,"3,023,500"
5/8/2014,133.76,135.13,130.04,131.17,131.17,"2,649,700"
5/7/2014,133.65,134.78,130.17,133.35,133.35,"3,121,900"
5/6/2014,135.77,136.14,133.09,133.35,133.35,"2,243,700"
5/5/2014,136.17,136.62,134.5,136.19,136.19,"2,635,100"
5/2/2014,137.97,138.39,135.67,136.35,136.35,"2,561,900"
5/1/2014,133.4,139,133,138.13,138.13,"3,616,200"
4/30/2014,133.24,133.89,132,133.71,133.71,"2,297,200"
4/29/2014,132.07,135,130.02,133.63,133.63,"2,882,100"
4/28/2014,134.76,134.97,131.62,133.51,133.51,"5,589,700"
4/25/2014,133.56,133.98,132.19,133.73,133.73,"3,838,100"
4/24/2014,133.13,135.52,130.57,134.42,134.42,"3,109,800"
4/23/2014,135.72,136.35,132.44,133.23,133.23,"5,003,000"
4/22/2014,132.81,137.06,129.17,135.41,135.41,"17,982,600"
4/21/2014,122.1,126.12,121.58,126.01,126.01,"2,790,000"
4/17/2014,121.39,123.57,120.02,122.05,122.05,"1,358,700"
4/16/2014,121.94,124.92,119.14,121.45,121.45,"1,885,700"
4/15/2014,117.28,120.31,115.17,120.12,120.12,"2,877,100"
4/14/2014,120.44,122.59,115.77,116.99,116.99,"2,640,900"
4/11/2014,121.59,125.33,118.78,118.79,118.79,"2,061,700"
4/10/2014,128.69,129.3,120.75,123.33,123.33,"3,599,000"
4/9/2014,123.03,129.62,122.49,129.34,129.34,"3,226,600"
4/8/2014,118.95,123.06,115.14,122.03,122.03,"5,178,000"
4/7/2014,123.52,125.14,117.25,119.23,119.23,"4,164,300"
4/4/2014,130.2,131.31,121.91,124.69,124.69,"3,311,800"
4/3/2014,133.74,135.03,127.26,129.1,129.1,"1,948,800"
4/2/2014,0.00 Dividend,,,,,
4/2/2014,134.34,135.83,131.82,133.69,133.69,"1,796,100"
4/1/2014,132.07,136.43,131.4,133.25,133.25,"2,060,300"
3/31/2014,129.27,132.33,128,131.83,131.83,"2,177,500"
3/28/2014,128.16,132.05,127.09,127.68,127.68,"2,178,800"
3/27/2014,128.88,129.06,124.67,127.19,127.19,"2,705,100"
3/26/2014,132.26,133.47,125.61,129.07,129.07,"2,483,100"
3/25/2014,132.24,134.88,129.7,131.53,131.53,"1,417,500"
3/24/2014,136.04,137.44,128.6,131.47,131.47,"3,474,900"
3/21/2014,140.85,141,134.93,135.55,135.55,"2,002,100"
3/20/2014,139.93,141.97,139.08,140.4,140.4,"991,300"
3/19/2014,144.36,144.43,139.39,140.79,140.79,"1,605,900"
3/18/2014,141.56,147,141.09,144.18,144.18,"1,321,500"
3/17/2014,140.6,142.2,140.6,140.9,140.9,"1,251,500"
3/14/2014,137.65,140.5,136.56,140.01,140.01,"1,255,800"
3/13/2014,142.55,142.55,138.83,139.33,139.33,"2,269,600"
3/12/2014,138.56,141.63,137.44,141,141,"1,768,300"
3/11/2014,140.43,141.38,139.37,139.96,139.96,"1,297,900"
3/10/2014,141.34,141.88,139.21,140.74,140.74,"1,923,300"
3/7/2014,138.6,141.66,134.8,141.37,141.37,"3,641,500"
3/6/2014,144.74,145,135.28,138.55,138.55,"4,772,700"
3/5/2014,146.2,146.82,143.51,145.13,145.13,"1,241,400"
3/4/2014,145.22,147.02,143.98,146.23,146.23,"1,499,800"
3/3/2014,143.3,143.9,140.55,143.38,143.38,"2,072,100"
2/28/2014,148.5,149.22,143.11,144.86,144.86,"2,275,700"
2/27/2014,151.26,153.1,145.61,148,148,"2,122,300"
2/26/2014,145.4,150.17,145.4,146.34,146.34,"2,904,600"
2/25/2014,146.14,146.64,143.1,145.06,145.06,"1,570,300"
2/24/2014,147.11,148.37,145.52,145.73,145.73,"1,544,200"
2/21/2014,147.54,148.43,145.93,146.26,146.26,"1,569,000"
2/20/2014,146.59,148.73,145.13,148,148,"2,110,100"
2/19/2014,145.81,147.41,144.66,145.02,145.02,"1,788,700"
2/18/2014,141.01,147.2,140.83,146.47,146.47,"2,208,700"
2/14/2014,141.62,142.24,139.28,139.57,139.57,"1,231,200"
2/13/2014,140.53,142.41,140,141.79,141.79,"1,281,300"
2/12/2014,142.82,142.82,140.08,140.77,140.77,"1,310,200"
2/11/2014,138.36,142.45,138.36,141.31,141.31,"1,915,000"
2/10/2014,138.21,139.74,137.01,138.13,138.13,"1,122,400"
2/7/2014,134.69,138.11,134.69,137.93,137.93,"1,537,400"
2/6/2014,134.86,135.37,133.12,134.43,134.43,"999,800"
2/5/2014,135.22,135.52,131.73,134.61,134.61,"1,432,400"
2/4/2014,134.24,135.92,133.68,135.56,135.56,"1,160,200"
2/3/2014,135.67,137.99,132.48,133.36,133.36,"1,531,000"
1/31/2014,134.27,137.35,132.85,135.64,135.64,"1,187,600"
1/30/2014,134.51,136.99,134,136.6,136.6,"1,166,000"
1/29/2014,131.89,134.58,130.63,132.8,132.8,"920,900"
1/28/2014,130.94,133.48,130.37,132.8,132.8,"1,000,300"
1/27/2014,132.48,133.56,129.76,131,131,"1,638,400"
1/24/2014,133.1,133.41,130.27,132.12,132.12,"1,712,200"
1/23/2014,137.06,137.06,133.8,135.02,135.02,"1,164,500"
1/22/2014,137.85,138.08,134.83,137.82,137.82,"897,900"
