Date,Open,High,Low,Close,Adj Close,Volume
4/24/2024,168.52,169.11,166.74,167.8,164.96,"4,074,700"
4/23/2024,168.59,170.37,168.22,169.54,166.67,"4,084,100"
4/22/2024,167.68,169.59,166.92,167.89,165.04,"5,580,700"
4/19/2024,165.02,166.6,163.25,166.41,163.59,"5,532,400"
4/18/2024,164.96,167.44,164.43,164.66,161.87,"4,480,100"
4/17/2024,164.15,164.74,163.23,164.25,161.47,"4,792,200"
4/16/2024,162.18,163.74,162.08,162.54,159.78,"4,881,300"
4/15/2024,164.52,164.7,161.5,161.67,158.93,"5,433,700"
4/12/2024,1.55 Dividend,,,,,
4/12/2024,164.45,164.45,160,162.28,159.53,"7,029,400"
4/11/2024,169.2,169.37,167.23,167.52,163.16,"3,307,000"
4/10/2024,168.59,169.96,167.36,169.03,164.63,"3,231,700"
4/9/2024,169.73,170.55,167.4,170.14,165.71,"5,934,000"
4/8/2024,169.21,171.97,168.4,169.8,165.38,"4,745,000"
4/5/2024,168,171.04,167.29,170,165.57,"7,029,700"
4/4/2024,177.65,177.7,167.45,167.9,163.53,"10,539,000"
4/3/2024,180.72,181.6,176.6,177.33,172.71,"5,893,000"
4/2/2024,179.39,181.03,178.51,180.69,175.98,"4,523,800"
4/1/2024,181.88,181.9,179.24,180.76,176.05,"3,502,100"
3/28/2024,181,182.3,180.3,182.1,177.36,"5,418,700"
3/27/2024,179.8,180.58,178.81,180.35,175.65,"5,073,500"
3/26/2024,179.23,179.77,178.38,179.19,174.52,"4,392,400"
3/25/2024,179,179.2,178.13,178.53,173.88,"4,366,400"
3/22/2024,177.23,178.99,176.78,178.45,173.8,"4,084,000"
3/21/2024,176.81,177.74,175.88,177.5,172.88,"5,743,600"
3/20/2024,179.22,179.23,175.73,176.27,171.68,"7,326,600"
3/19/2024,178.19,179.93,178.19,179.66,174.98,"7,625,600"
3/18/2024,179.01,179.88,177.57,178.49,173.84,"8,569,000"
3/15/2024,179.84,180.58,177.54,177.88,173.25,"20,957,800"
