Date,Open,High,Low,Close,Adj Close,Volume
2/8/2023,65.27,65.28,64.2,64.36,61.69,"5,036,800"
2/7/2023,63.26,64.4,63.19,64.29,61.63,"4,650,200"
2/6/2023,63.58,63.85,63.21,63.52,60.89,"4,697,400"
2/3/2023,63.65,64.09,63.2,63.44,60.81,"4,831,700"
2/2/2023,63.36,63.39,62.52,63.15,60.53,"8,794,100"
2/1/2023,64.44,64.47,62.82,63.56,60.93,"9,538,000"
1/31/2023,65.04,65.38,64.85,65.37,62.66,"5,772,700"
1/30/2023,66.38,66.42,65.72,65.84,63.11,"5,170,200"
1/27/2023,65.4,65.78,65.19,65.53,62.81,"3,176,200"
1/26/2023,66.85,66.85,65.64,65.99,63.25,"5,458,400"
1/25/2023,65.84,66.91,65.84,66.63,63.87,"5,314,200"
1/24/2023,66.15,66.37,65.52,66.28,63.53,"10,867,200"
1/23/2023,68.71,69.1,67.56,67.61,64.81,"7,858,100"
1/20/2023,69.51,69.63,68.58,69.15,66.28,"9,748,100"
1/19/2023,70.58,70.96,70.27,70.49,67.57,"7,277,200"
1/18/2023,71.7,71.94,70.83,70.89,67.95,"6,561,600"
1/17/2023,71.62,71.64,70.64,70.74,67.81,"3,992,200"
1/13/2023,70.97,71.53,70.76,71.08,68.13,"4,036,800"
1/12/2023,69.82,70.37,68.43,70.08,67.18,"6,749,700"
1/11/2023,71.36,71.46,70.44,70.45,67.53,"5,861,400"
1/10/2023,71.68,72.12,71.42,71.6,68.63,"4,800,400"
1/9/2023,71.05,71.66,70.72,70.9,67.96,"6,586,400"
1/6/2023,69.85,71.19,69.61,70.8,67.87,"7,341,500"
1/5/2023,69.16,70.3,68.89,69.81,66.92,"5,020,200"
1/4/2023,70.49,70.59,69.12,69.5,66.62,"4,936,300"
1/3/2023,68.65,69.43,68.6,69.33,66.46,"3,473,900"
12/30/2022,67.79,68.05,67.13,67.8,64.99,"3,605,400"
12/29/2022,68.16,68.47,68.03,68.1,65.28,"2,579,000"
12/28/2022,67.84,68.28,67.51,67.56,64.76,"2,299,400"
12/27/2022,68.5,68.55,67.72,67.93,65.11,"2,089,000"
12/23/2022,67.59,67.99,67.46,67.98,65.16,"2,322,600"
12/22/2022,67.87,68.09,67.44,68.08,65.26,"2,492,800"
12/21/2022,67.3,68.17,67.16,67.9,65.09,"2,855,200"
12/20/2022,67.37,67.8,67.14,67.72,64.91,"2,486,500"
