Date,Open,High,Low,Close,Adj Close,Volume
8/25/2023,263,264.79,261.09,264.43,264.43,"608,100"
8/24/2023,263.83,266.49,262.35,262.43,262.43,"515,700"
8/23/2023,265.74,266.78,263.99,264.8,264.8,"544,600"
8/22/2023,264.07,265.85,262.67,262.98,262.98,"655,700"
8/21/2023,260.92,266.25,260.42,265.07,265.07,"755,300"
8/18/2023,259.79,262.4,259.76,261.15,261.15,"585,600"
8/17/2023,265.26,265.79,260.94,261.5,261.5,"741,800"
8/16/2023,270.48,271.07,265.07,265.26,265.26,"645,700"
8/15/2023,271.56,272.23,266.5,270.22,270.22,"763,000"
8/14/2023,274.05,274.05,269.96,272.74,272.74,"715,600"
8/11/2023,268,276.52,267.44,273.68,273.68,"869,700"
8/10/2023,271.68,272.57,268.77,269.06,269.06,"934,900"
8/9/2023,273.51,275.65,270.71,271.29,271.29,"613,000"
8/8/2023,271.84,278.95,271.65,274.14,274.14,"1,445,200"
8/7/2023,262.96,271.76,262.96,271.23,271.23,"1,232,300"
8/4/2023,267.04,269.94,266.68,268.92,268.92,"929,600"
8/3/2023,270.08,271.11,266.78,267.75,267.75,"977,200"
8/2/2023,269.7,275.87,269.15,271.56,271.56,"1,299,500"
8/1/2023,269.36,269.68,266.49,269.3,269.3,"1,070,600"
7/31/2023,264.26,273.46,263.53,270.19,270.19,"1,374,500"
7/28/2023,263.3,268.26,256.13,265.23,265.23,"3,168,200"
7/27/2023,265.73,267.02,262.4,262.79,262.79,"1,283,200"
7/26/2023,270,270,263.09,265.25,265.25,"1,517,500"
7/25/2023,279.86,280.42,264.37,270.31,270.31,"2,485,300"
7/24/2023,276.54,278.41,275.7,277,277,"1,173,500"
7/21/2023,276.1,278.12,274.33,276.74,276.74,"2,827,800"
7/20/2023,278,279.9,273.47,274.7,274.7,"1,570,700"
7/19/2023,276.17,278.95,275.83,276.89,276.89,"912,300"
7/18/2023,278.4,281.12,275.77,276.17,276.17,"1,052,200"
7/17/2023,278.42,280.49,276.22,278.4,278.4,"1,189,000"
7/14/2023,278.94,280,276.12,278.93,278.93,"895,300"
7/13/2023,278.93,280.86,276.4,277.97,277.97,"985,700"
7/12/2023,280.17,281.68,277.29,277.62,277.62,"1,055,700"
7/11/2023,280,280.52,276.02,279.84,279.84,"909,300"
7/10/2023,275,282.74,275,281.58,281.58,"1,280,500"
7/7/2023,285.58,286.54,274.75,275.07,275.07,"2,849,400"
7/6/2023,285.95,286.92,282.48,284.99,284.99,"1,067,800"
7/5/2023,285.45,287.6,283.83,285.89,285.89,"744,700"
7/3/2023,282.87,285.65,281.24,285.44,285.44,"414,700"
6/30/2023,284.96,286.5,282.91,284.85,284.85,"1,130,800"
6/29/2023,282.71,285.45,280.59,282.13,282.13,"873,700"
6/28/2023,282.95,285.68,281.29,284.02,284.02,"618,700"
6/27/2023,281.91,283.49,277.71,282.95,282.95,"851,000"
6/26/2023,283.87,283.95,279.56,281.58,281.58,"833,500"
6/23/2023,293.35,293.52,283.97,284.52,284.52,"1,427,600"
6/22/2023,294.25,296.46,291.58,293.95,293.95,"905,600"
6/21/2023,294.04,294.84,289.83,294.36,294.36,"787,800"
6/20/2023,296,298.73,293.65,293.79,293.79,"961,200"
6/16/2023,300.57,304.79,296.2,297.48,297.48,"1,915,400"
6/15/2023,299.77,300,293.21,297.83,297.83,"1,483,000"
6/14/2023,304.6,306.52,296.09,299.99,299.99,"1,512,500"
6/13/2023,310.84,312.76,299.52,304.6,304.6,"1,526,900"
6/12/2023,319.76,319.76,310,313.41,313.41,"1,502,500"
6/9/2023,308.88,308.88,308.88,308.88,308.88,-
6/8/2023,310.69,311.28,303.69,308.88,308.88,"1,231,600"
6/7/2023,299.63,309.3,294.04,304.9,304.9,"2,034,300"
6/6/2023,303.65,304.76,298.32,299.79,299.79,"911,700"
6/5/2023,299.67,304.29,299.59,302.13,302.13,"1,085,200"
6/2/2023,302.53,303.17,297.68,300.2,300.2,"816,600"
6/1/2023,301.02,308.38,300.19,302.41,302.41,"1,033,600"
5/31/2023,298.69,299.58,294.81,296.41,296.41,"1,566,900"
5/30/2023,297.92,298.95,295,298.69,298.69,"802,600"
5/26/2023,298.51,299.11,294.83,298.66,298.66,"945,500"
5/25/2023,298.51,298.89,291.64,297.13,297.13,"1,073,000"
5/24/2023,301.82,302.31,298.33,301.56,301.56,"842,700"
5/23/2023,305.23,306.87,302.33,303.15,303.15,"762,700"
5/22/2023,309.93,310.47,306.13,306.87,306.87,"528,000"
5/19/2023,307,310.5,306.52,308.48,308.48,"568,800"
5/18/2023,305.85,306.23,301.94,305.45,305.45,"616,800"
5/17/2023,308.25,308.25,302.15,306.25,306.25,"585,400"
5/16/2023,310.6,310.64,306.11,307.61,307.61,"638,400"
5/15/2023,310,312.48,309.15,311.87,311.87,"495,800"
5/12/2023,310.97,311.41,307.7,309.6,309.6,"442,600"
5/11/2023,313.5,313.59,308.65,310.56,310.56,"726,300"
5/10/2023,315.19,315.78,310.71,313.26,313.26,"795,100"
5/9/2023,311.87,315.69,311.09,314,314,"906,100"
5/8/2023,317.48,317.48,310,314.37,314.37,"936,100"
5/5/2023,313.81,319.74,310.66,318.06,318.06,"1,734,400"
5/4/2023,311.42,314.37,309.58,313.57,313.57,"1,214,000"
5/3/2023,315,316.69,309.55,311,311,"2,787,500"
5/2/2023,309.2,311.89,305.26,309.28,309.28,"1,090,900"
5/1/2023,305.75,312.23,304.22,311.11,311.11,"1,278,900"
4/28/2023,293.91,305.5,293.37,304.23,304.23,"1,957,700"
