Date,Open,High,Low,Close,Adj Close,Volume
5/3/2024,149.89,149.89,147.82,149.27,146.96,"6,532,700"
5/2/2024,152.04,152.33,149.14,149.92,147.6,"8,459,800"
5/1/2024,148.74,151.85,147.62,151.18,148.84,"14,470,900"
4/30/2024,146.88,146.88,144.53,144.59,142.35,"8,817,700"
4/29/2024,146.14,147.22,145.99,146.82,144.55,"6,149,600"
4/26/2024,146.7,147.18,145.95,146.14,143.88,"6,183,000"
4/25/2024,149.37,149.58,146.33,146.82,144.55,"7,642,700"
4/24/2024,148.14,148.99,146.86,148.53,146.23,"9,756,300"
4/23/2024,149.86,150.49,148.2,149.56,147.24,"10,110,400"
4/22/2024,148.51,150.27,147.3,149.12,146.81,"10,118,700"
4/19/2024,146.15,148.13,144.54,147.91,145.62,"9,747,700"
4/18/2024,144.98,145.8,143.13,145.74,143.48,"9,887,700"
4/17/2024,145,145.41,143.54,144.77,142.53,"9,378,100"
4/16/2024,145.01,146.25,143.39,144.45,142.21,"12,774,900"
4/15/2024,148.37,149.49,147.37,147.59,145.3,"8,502,300"
4/12/2024,148.06,149.07,147.15,147.52,145.23,"7,097,500"
4/11/2024,150.8,150.87,148.39,148.79,146.49,"8,374,400"
4/10/2024,151.53,151.82,149.76,150.2,147.87,"6,809,500"
4/9/2024,151.55,152.53,150.94,152.29,149.93,"6,135,600"
4/8/2024,151.99,153.04,151.56,151.59,149.24,"5,935,400"
4/5/2024,152.03,153.01,151.61,152.39,150.03,"6,778,100"
4/4/2024,155.31,155.5,152.41,152.5,150.14,"6,947,400"
4/3/2024,157.79,158.05,154.25,154.26,151.87,"8,098,200"
4/2/2024,156.57,157.83,155.95,157.73,155.29,"6,102,300"
4/1/2024,157.72,158.15,156.77,157.78,155.34,"4,364,700"
3/28/2024,158.2,159.14,158.11,158.19,155.74,"6,181,500"
3/27/2024,155.99,158.22,155.44,157.96,155.51,"8,461,600"
3/26/2024,155.61,156.23,154.76,155.77,153.36,"6,864,100"
3/25/2024,155.4,155.98,154.9,155.22,152.82,"7,498,100"
3/22/2024,155.69,156.36,155.11,155.23,152.83,"7,245,400"
3/21/2024,155.59,156.95,155.1,155.75,153.34,"5,915,800"
3/20/2024,155.7,156.44,155.21,155.76,153.35,"5,982,300"
3/19/2024,156.67,156.86,155.66,156.21,153.79,"7,840,600"
3/18/2024,158.57,158.69,156.5,156.76,154.33,"6,602,300"
3/15/2024,158.06,159.19,157.1,158.18,155.73,"13,165,500"
3/14/2024,160.94,161.54,158.69,159.21,156.74,"6,988,300"
3/13/2024,162.53,162.68,159.81,161.1,158.6,"6,260,000"
3/12/2024,161.58,163.11,161.13,162.74,160.22,"8,018,700"
3/11/2024,159.49,161.32,158.88,161.23,158.73,"4,620,800"
3/8/2024,158.87,160.39,158.43,159.52,157.05,"5,283,200"
3/7/2024,160,160.36,158.24,158.87,156.41,"5,188,700"
3/6/2024,159.46,160.93,159.22,159.34,156.87,"5,773,700"
3/5/2024,160.62,161.24,159.2,159.97,157.49,"8,298,200"
3/4/2024,161.32,161.61,158.27,159.84,157.36,"8,532,900"
