Date,Open,High,Low,Close,Adj Close,Volume
4/12/2023,41.63,41.79,41.27,41.37,37.64,"17,035,100"
4/11/2023,41.8,41.99,41.7,41.79,38.02,"15,304,100"
4/10/2023,41.15,41.74,41.12,41.73,37.96,"15,137,300"
4/6/2023,41.93,42.1,41.37,41.5,37.76,"25,931,800"
4/5/2023,41.29,42.22,41.17,41.55,37.8,"29,697,600"
4/4/2023,41.44,41.53,40.76,40.9,37.21,"19,514,500"
4/3/2023,40.69,41.47,40.65,41.35,37.62,"20,817,200"
3/31/2023,40.55,40.83,40.28,40.8,37.12,"23,393,600"
3/30/2023,40.42,40.49,40.25,40.38,36.74,"12,634,500"
3/29/2023,40.16,40.27,39.99,40.25,36.62,"14,429,500"
3/28/2023,40.2,40.3,39.86,39.99,36.38,"13,537,500"
3/27/2023,40.54,40.62,39.97,40.22,36.59,"20,262,800"
3/24/2023,40.09,40.46,39.87,40.39,36.75,"17,218,100"
3/23/2023,40.17,40.5,40,40.18,36.55,"16,958,100"
3/22/2023,40.7,40.85,39.99,40.01,36.4,"15,444,200"
3/21/2023,40.86,40.91,40.31,40.66,36.99,"19,982,000"
3/20/2023,40.14,40.86,39.94,40.81,37.13,"20,825,400"
3/17/2023,40.63,40.79,39.99,40.1,36.48,"57,457,800"
3/16/2023,40.06,40.49,39.72,40.37,36.73,"21,095,900"
3/15/2023,39.76,40.53,39.46,40.28,36.65,"25,498,400"
3/14/2023,40.05,40.15,39.52,39.9,36.3,"24,583,600"
3/13/2023,39.26,40.51,39.26,39.86,36.26,"35,299,400"
3/10/2023,39.29,39.93,39.23,39.39,35.84,"26,328,100"
3/9/2023,40.41,40.57,39.31,39.46,35.9,"18,585,100"
3/8/2023,40.32,40.57,39.91,40.12,36.5,"16,756,100"
3/7/2023,41.06,41.13,40.1,40.34,36.7,"23,205,800"
3/6/2023,41.09,41.26,40.82,41.11,37.4,"19,434,800"
3/3/2023,40.91,41.18,40.74,41.15,37.44,"20,922,000"
3/2/2023,40.06,40.78,39.81,40.62,36.95,"19,110,600"
3/1/2023,40.56,40.76,40.14,40.18,36.55,"21,104,400"
2/28/2023,40.5,40.71,40.09,40.57,36.91,"31,086,900"
2/27/2023,41.44,41.73,40.73,40.78,37.1,"26,370,300"
2/24/2023,42.03,42.05,41.51,41.75,37.98,"16,806,100"
2/23/2023,42.29,42.75,42.22,42.3,38.48,"21,104,300"
2/22/2023,42.72,42.89,42.31,42.38,38.56,"17,394,200"
2/21/2023,42.81,42.93,42.62,42.7,38.85,"17,356,600"
2/17/2023,42.89,43.37,42.58,43.21,39.31,"18,293,400"
