Date,Open,High,Low,Close,Adj Close,Volume
4/12/2023,55.96,56.27,55.61,55.8,51.59,"2,146,900"
4/11/2023,55.73,55.74,55.12,55.22,51.05,"2,034,900"
4/10/2023,55.38,55.52,54.61,54.99,50.84,"1,732,400"
4/6/2023,55.79,56.09,55.67,55.93,51.71,"2,686,200"
4/5/2023,55.21,55.48,54.75,54.84,50.7,"3,026,800"
4/4/2023,54.17,54.69,54.08,54.21,50.12,"3,207,600"
4/3/2023,54.43,54.55,54.09,54.18,50.09,"1,874,100"
3/31/2023,54.43,54.52,54.16,54.42,50.32,"2,034,600"
3/30/2023,54.57,54.72,53.89,53.97,49.9,"1,912,100"
3/29/2023,54.71,54.75,54.42,54.45,50.34,"1,870,000"
3/28/2023,54.1,54.28,53.92,54.19,50.1,"1,514,000"
3/27/2023,53,53.28,52.72,53.22,49.21,"1,755,600"
3/24/2023,52,52.73,51.61,52.61,48.64,"2,748,900"
3/23/2023,52.01,52.3,51.4,51.73,47.83,"6,019,000"
3/22/2023,48.88,49.36,48.77,48.79,45.11,"955,400"
3/21/2023,48.86,48.87,48.35,48.56,44.9,"1,116,500"
3/20/2023,47.96,48.25,47.63,48,44.38,"2,232,000"
3/17/2023,47.81,47.93,47.47,47.74,44.14,"1,335,200"
3/16/2023,47.71,48.16,47.4,48.12,44.49,"1,287,600"
3/15/2023,47.04,47.68,47.03,47.57,43.98,"994,400"
3/14/2023,47.55,47.9,47.33,47.86,44.25,"2,219,800"
3/13/2023,47.22,47.8,46.97,47.03,43.48,"1,536,700"
3/10/2023,47.56,47.95,47.22,47.28,43.71,"1,281,800"
3/9/2023,47.7,47.75,46.95,47.05,43.5,"1,152,100"
3/8/2023,47.57,47.67,47.09,47.23,43.67,"1,138,600"
3/7/2023,48,48.05,47.25,47.56,43.97,"1,195,200"
3/6/2023,47.61,47.97,47.5,47.73,44.13,"734,200"
3/3/2023,47.49,47.76,47.29,47.76,44.16,"2,033,400"
3/2/2023,46.89,47.63,46.83,47.63,44.04,"1,163,600"
3/1/2023,47.31,47.34,46.96,47.02,43.47,"1,252,700"
2/28/2023,47.4,47.44,46.85,46.85,43.32,"1,072,800"
2/27/2023,48.07,48.39,47.82,47.85,44.24,"1,398,900"
2/24/2023,47.88,47.97,47.33,47.7,44.1,"2,576,700"
2/23/2023,47.66,48.31,47.44,48.31,44.67,"3,269,600"
2/22/2023,48.08,48.18,47.75,48.02,44.4,"1,611,300"
2/21/2023,47.73,47.9,47.44,47.6,44.01,"829,700"
2/17/2023,47.36,47.72,47.29,47.67,44.07,"1,065,200"
2/16/2023,46.96,47.12,46.69,46.83,43.3,"932,700"
2/15/2023,47.35,47.36,46.99,47.25,43.69,"1,356,600"
2/14/2023,47.47,47.76,47.18,47.6,44.01,"1,329,800"
2/13/2023,47.08,47.4,46.8,47.4,43.82,"1,472,600"
2/10/2023,47.6,47.71,47.13,47.54,43.95,"2,559,000"
2/9/2023,48.26,48.35,47.83,48.08,44.45,"2,461,200"
2/8/2023,47.7,47.8,47.44,47.71,44.11,"2,256,700"
2/7/2023,46.28,47.06,46.21,46.97,43.43,"2,424,800"
