Date,Open,High,Low,Close,Adj Close,Volume
1/12/2023,15.61,15.75,15.58,15.74,15.74,"3,413,700"
1/11/2023,15.56,15.61,15.49,15.59,15.59,"3,823,700"
1/10/2023,15.35,15.45,15.28,15.4,15.4,"5,502,100"
1/9/2023,15.6,15.66,15.54,15.57,15.57,"4,012,300"
1/6/2023,15.44,15.65,15.32,15.58,15.58,"5,126,900"
1/5/2023,15.37,15.47,15.3,15.42,15.42,"3,914,300"
1/4/2023,15.5,15.71,15.43,15.6,15.6,"6,632,700"
1/3/2023,15.62,15.77,15.62,15.76,15.76,"1,967,200"
12/30/2022,15.56,15.61,15.51,15.6,15.6,"1,903,800"
12/29/2022,15.54,15.66,15.5,15.62,15.62,"1,923,300"
12/28/2022,15.44,15.53,15.38,15.4,15.4,"1,864,500"
12/27/2022,15.54,15.54,15.4,15.42,15.42,"1,471,900"
12/23/2022,15.44,15.55,15.39,15.54,15.54,"3,038,200"
12/22/2022,15.35,15.43,15.3,15.42,15.42,"3,114,500"
12/21/2022,15.33,15.45,15.33,15.4,15.4,"1,331,700"
12/20/2022,15.27,15.41,15.25,15.33,15.33,"4,403,100"
12/19/2022,15.03,15.05,14.94,14.96,14.96,"2,300,300"
12/16/2022,14.9,15.07,14.85,15.05,15.05,"5,071,900"
12/15/2022,15.3,15.31,15.13,15.14,15.14,"2,233,100"
12/14/2022,15.22,15.5,15.22,15.41,15.41,"4,520,000"
12/13/2022,15.25,15.35,15.16,15.24,15.24,"4,334,600"
12/12/2022,14.91,14.95,14.86,14.92,14.92,"2,956,400"
12/9/2022,14.96,15.12,14.91,14.98,14.98,"2,684,000"
12/8/2022,14.68,14.84,14.67,14.84,14.84,"1,819,500"
12/7/2022,14.58,14.75,14.58,14.69,14.69,"3,129,800"
12/6/2022,14.6,14.64,14.43,14.56,14.56,"2,371,300"
12/5/2022,14.64,14.71,14.56,14.56,14.56,"3,447,400"
12/2/2022,14.65,14.82,14.61,14.82,14.82,"1,637,800"
12/1/2022,14.84,14.93,14.76,14.87,14.87,"2,225,900"
11/30/2022,14.58,14.75,14.53,14.73,14.73,"1,788,400"
11/29/2022,14.44,14.57,14.4,14.5,14.5,"1,732,900"
11/28/2022,14.49,14.64,14.49,14.55,14.55,"2,223,600"
11/25/2022,14.37,14.6,14.37,14.58,14.58,"1,210,400"
11/23/2022,14.23,14.37,14.2,14.36,14.36,"1,716,200"
11/22/2022,14.17,14.29,14.15,14.23,14.23,"2,074,800"
11/21/2022,14.04,14.11,14.01,14.07,14.07,"2,022,300"
11/18/2022,14.02,14.13,14.01,14.1,14.1,"2,241,200"
11/17/2022,13.74,13.94,13.74,13.93,13.93,"2,121,300"
11/16/2022,13.74,13.82,13.74,13.77,13.77,"1,493,500"
11/15/2022,13.86,13.89,13.7,13.75,13.75,"2,926,500"
11/14/2022,13.58,13.8,13.56,13.71,13.71,"3,136,600"
11/11/2022,13.72,13.85,13.59,13.85,13.85,"3,151,100"
11/10/2022,13.53,13.87,13.48,13.84,13.84,"3,967,300"
11/9/2022,13.25,13.32,13.21,13.22,13.22,"2,582,600"
11/8/2022,13.37,13.5,13.3,13.42,13.42,"2,876,600"
11/7/2022,13.22,13.36,13.19,13.32,13.32,"2,854,900"
11/4/2022,13.09,13.23,13.05,13.19,13.19,"2,431,300"
11/3/2022,13.01,13.13,12.99,13.11,13.11,"2,232,700"
11/2/2022,13.26,13.36,13.12,13.13,13.13,"2,384,400"
11/1/2022,13.31,13.45,13.18,13.28,13.28,"2,406,100"
10/31/2022,13.17,13.26,13.14,13.22,13.22,"3,099,700"
10/28/2022,13.12,13.23,13.01,13.2,13.2,"3,071,800"
10/27/2022,13.1,13.42,13,13.04,13.04,"3,636,100"
10/26/2022,12.89,12.99,12.89,12.97,12.97,"3,258,900"
10/25/2022,12.76,12.8,12.64,12.74,12.74,"2,122,100"
10/24/2022,12.48,12.64,12.44,12.59,12.59,"4,411,400"
10/21/2022,12.36,12.7,12.28,12.68,12.68,"4,821,700"
10/20/2022,12.5,12.57,12.46,12.5,12.5,"4,517,800"
10/19/2022,12.56,12.63,12.37,12.42,12.42,"5,041,600"
10/18/2022,12.79,12.83,12.65,12.71,12.71,"4,921,300"
10/17/2022,12.86,12.98,12.68,12.73,12.73,"11,432,500"
10/14/2022,12.96,13.05,12.87,12.87,12.87,"2,981,200"
10/13/2022,12.65,12.94,12.63,12.88,12.88,"2,329,900"
10/12/2022,12.78,12.9,12.78,12.82,12.82,"2,047,200"
10/11/2022,12.95,12.95,12.77,12.81,12.81,"3,518,500"
10/10/2022,13.11,13.11,12.98,13,13,"4,078,600"
10/7/2022,13.04,13.19,13.04,13.14,13.14,"3,906,100"
10/6/2022,13.27,13.29,13.07,13.12,13.12,"3,185,300"
10/5/2022,13.4,13.52,13.32,13.45,13.45,"3,722,200"
10/4/2022,13.35,13.62,13.34,13.6,13.6,"4,804,500"
10/3/2022,12.92,13.07,12.85,13.05,13.05,"3,281,500"
9/30/2022,12.91,13.09,12.91,12.97,12.97,"2,870,500"
9/29/2022,13.07,13.07,12.9,12.97,12.97,"2,554,100"
9/28/2022,12.82,13.13,12.82,13.07,13.07,"3,655,600"
9/27/2022,12.87,12.92,12.75,12.8,12.8,"2,943,200"
9/26/2022,12.87,12.95,12.77,12.81,12.81,"3,449,200"
9/23/2022,13.04,13.05,12.87,13,13,"2,952,800"
9/22/2022,13.12,13.23,13.1,13.16,13.16,"2,708,300"
9/21/2022,13.17,13.17,12.97,12.99,12.99,"2,734,000"
9/20/2022,13.27,13.27,13.15,13.22,13.22,"2,720,400"
9/19/2022,13.31,13.43,13.26,13.4,13.4,"3,948,700"
9/16/2022,13.43,13.57,13.39,13.45,13.45,"2,775,700"
